Student_ID,Student_Name,Tamil_Term1,English_Term1,Maths_Term1,Science_Term1,Social_Term1,Tamil_Term2,English_Term2,Maths_Term2,Science_Term2,Social_Term2,Tamil_Term3,English_Term3,Maths_Term3,Science_Term3,Social_Term3,Tamil_Final,English_Final,Maths_Final,Science_Final,Social_Final
STUD026,Eswari Selvi,55,65,51,56,69,63,71,60,59,68,75,71,65,76,74,76,76,70,78,75
STUD027,Ganesh Raj,72,55,54,67,65,63,60,57,67,68,65,67,68,68,81,71,72,78,75,80
STUD028,Hemalatha Babu,62,62,64,61,60,72,73,71,68,66,74,68,72,69,69,81,81,77,71,87
STUD029,Iniyan Sundar,61,72,72,63,75,76,77,65,77,71,85,75,80,82,83,80,80,75,73,81
STUD030,Jeevika Mary,70,75,71,72,64,82,75,68,81,74,82,77,77,78,80,74,88,76,75,82
STUD031,Kavin Raja,80,70,76,79,80,69,69,74,75,82,80,80,80,87,90,87,87,82,86,91
STUD032,Logesh Rani,76,73,70,69,74,81,72,72,76,78,90,81,87,83,79,84,85,81,88,84
STUD033,Meena Mohan,69,71,73,69,71,82,75,84,75,74,86,90,88,90,88,85,79,84,94,84
STUD034,Naren Raj,83,84,69,71,76,79,82,73,81,79,92,84,91,90,94,96,89,91,90,84
STUD035,Oviya Sankar,76,77,75,80,76,82,82,78,78,83,81,92,91,95,91,85,89,89,92,99
STUD036,Pavithra Raj,82,81,77,87,79,86,81,83,82,82,84,86,88,91,98,89,98,91,97,95
STUD037,Ragul Sri,59,56,42,44,58,58,54,44,49,56,52,58,49,56,68,71,67,59,59,69
STUD038,Shalini Anand,48,59,53,58,57,60,51,51,59,64,69,61,62,54,69,59,65,61,66,61
STUD039,Tharun Vel,64,46,58,60,50,58,66,59,66,67,57,60,60,59,66,73,72,58,58,67
STUD040,Uma Babu,59,48,59,51,58,57,66,53,57,70,67,72,62,70,74,76,66,71,64,74
STUD041,Vignesh Lakshmi,68,54,50,59,66,66,70,60,55,66,69,73,60,73,76,74,71,71,76,74
STUD042,Akila Lakshmi,61,64,57,66,56,68,71,66,69,63,77,61,62,77,73,68,77,64,80,80
STUD043,Bhuvan Kumar,60,67,56,57,72,68,68,68,61,71,76,72,75,64,67,74,74,70,68,81
STUD044,Darshini Priya,61,70,59,66,59,63,70,59,70,74,77,77,66,72,83,82,72,70,73,72
STUD045,Eshwar Sankar,72,65,71,63,68,78,70,74,71,65,82,75,69,69,83,82,78,80,78,86
STUD046,Gayathri Mohan,68,72,73,64,70,78,75,71,74,67,82,76,66,70,86,82,78,80,79,80
STUD047,Hari Sankar,72,66,63,64,74,82,67,75,71,71,81,80,81,76,79,79,84,87,90,84
STUD048,Induja Babu,74,79,71,75,70,84,70,70,76,83,85,74,82,73,83,80,89,84,84,90
STUD049,Jagan Begum,71,73,79,67,79,79,72,82,80,86,79,78,73,76,86,94,80,78,85,84
STUD050,Keerthana Vel,84,79,79,73,84,77,87,83,81,76,89,82,88,91,86,92,82,88,91,83
STUD051,Lokesh Vel,80,76,71,85,75,82,74,73,85,84,84,84,78,85,87,90,91,83,82,92
STUD052,Monisha Selvi,78,80,75,76,75,82,76,85,84,89,82,85,86,82,87,98,99,84,86,100
STUD053,Nithin Mary,87,90,75,89,93,87,79,92,88,95,84,83,95,95,98,90,100,97,88,90
STUD054,Preethi Sundar,82,78,78,85,89,94,96,87,95,99,99,87,85,91,100,100,94,98,98,100
STUD055,Rithik Vel,60,48,53,59,58,59,60,51,65,54,57,55,53,67,59,69,60,55,67,62
STUD056,Sangeetha Raja,60,60,46,57,59,64,54,65,58,58,72,62,56,67,69,63,66,63,72,61
STUD057,Tamilselvan Sankar,59,49,52,58,61,65,64,51,59,60,71,59,59,58,62,78,66,70,74,77
STUD058,Varsha Sundar,58,62,58,62,56,58,59,58,57,60,69,73,70,75,76,77,70,66,79,68
STUD059,Abdul Begum,68,56,60,69,72,68,58,62,70,61,63,67,68,68,68,74,73,72,68,67
STUD060,Blessy Anand,70,60,57,68,65,77,70,59,72,63,78,63,75,66,76,81,78,77,76,72
STUD061,Catherine Vel,59,67,60,72,71,65,74,62,69,77,79,81,65,78,77,80,75,76,74,73
STUD062,Dev Sri,64,75,73,66,73,76,67,68,67,70,77,73,70,72,72,77,85,82,85,83
STUD063,Ezhil Sundar,67,75,61,77,78,76,73,64,77,84,73,78,81,84,73,75,83,79,75,77
STUD064,Fathima Sankar,81,75,75,65,80,75,77,80,84,74,74,85,72,82,76,92,79,73,82,91
STUD065,Giri Mary,83,81,68,77,79,80,81,80,80,73,85,75,81,77,88,87,84,78,87,81
STUD066,Hema Balan,73,78,74,80,74,75,80,81,82,78,93,77,86,92,89,80,89,85,84,87
STUD067,Irfan Sundar,86,75,74,74,76,77,82,74,90,92,80,87,79,90,84,87,85,83,95,84
STUD068,Joe Raja,84,78,83,81,88,84,82,82,91,84,92,93,91,89,94,100,98,93,88,91
STUD069,Kishore Sankar,79,81,72,89,87,82,93,78,87,82,88,89,93,98,88,99,86,89,99,98
STUD070,Lalitha Kumar,90,76,85,92,89,88,91,79,91,89,85,93,84,94,90,92,87,93,100,93
STUD071,Mithran Anand,93,77,77,78,88,89,85,95,95,87,96,92,92,89,89,97,100,100,91,94
STUD072,Nandhini Anand,81,95,84,84,91,98,83,92,91,99,94,89,100,99,92,100,100,100,91,100
STUD073,Pradeep Anand,51,60,57,57,51,65,54,61,60,58,68,60,55,68,69,66,73,72,65,66
STUD074,Ranjani Raj,66,51,57,57,54,62,55,62,64,73,72,73,64,60,67,72,72,60,72,72
STUD075,Sathish Priya,65,65,62,67,67,68,61,69,72,70,78,68,60,74,65,78,68,70,74,69
STUD076,Tejas Raj,66,63,61,69,70,65,72,67,73,62,75,75,68,64,67,79,76,79,71,68
STUD077,Vetri Selvi,72,57,58,59,66,73,71,70,62,67,80,75,73,79,69,73,83,76,80,80
STUD078,Aarthi Rani,67,61,56,64,76,80,74,63,71,73,82,72,73,82,75,74,73,69,84,77
STUD079,Bhavani Mary,64,70,69,63,72,75,69,67,76,83,77,71,72,73,78,88,71,80,83,88
STUD080,Cyril Murugan,68,64,62,72,77,83,82,77,80,71,76,80,70,85,87,91,84,75,79,80
STUD081,Dharani Raja,82,65,65,81,71,79,73,71,79,78,85,88,79,75,83,83,83,77,85,80
STUD082,Elakkiya Sri,73,70,69,77,70,72,72,69,79,79,89,74,87,84,86,94,84,87,87,94
STUD083,Frank Raj,71,73,80,82,86,88,78,80,77,85,88,87,86,81,90,97,82,87,87,96
